question_id,letter,category,round_idx,answer,model,player_id,temperature,top_k,prompt_id
Q001,A,Animals,0,Alpaca,qwen2.5:7b,qwen2.5_7b,1.0,40,baseline
Q001,A,Animals,1,Alpaca,qwen2.5:7b,qwen2.5_7b,1.0,40,baseline
Q002,A,Jobs,0,Assistant,qwen2.5:7b,qwen2.5_7b,1.0,40,baseline
Q002,A,Jobs,1,Accountant,qwen2.5:7b,qwen2.5_7b,1.0,40,baseline
Q003,B,Fruits,0,Banana,qwen2.5:7b,qwen2.5_7b,1.0,40,baseline
Q003,B,Fruits,1,Banana,qwen2.5:7b,qwen2.5_7b,1.0,40,baseline
Q004,B,Things that are red,0,Berry,qwen2.5:7b,qwen2.5_7b,1.0,40,baseline
Q004,B,Things that are red,1,Berry,qwen2.5:7b,qwen2.5_7b,1.0,40,baseline
Q005,C,Countries,0,Cuba,qwen2.5:7b,qwen2.5_7b,1.0,40,baseline
Q005,C,Countries,1,Costa Rica,qwen2.5:7b,qwen2.5_7b,1.0,40,baseline
Q006,C,Board games,0,Chess,qwen2.5:7b,qwen2.5_7b,1.0,40,baseline
Q006,C,Board games,1,Chess,qwen2.5:7b,qwen2.5_7b,1.0,40,baseline
Q007,D,Musical instruments,0,Dulcimer,qwen2.5:7b,qwen2.5_7b,1.0,40,baseline
Q007,D,Musical instruments,1,Drum,qwen2.5:7b,qwen2.5_7b,1.0,40,baseline
Q008,D,Things in a bathroom,0,Door,qwen2.5:7b,qwen2.5_7b,1.0,40,baseline
Q008,D,Things in a bathroom,1,Dishcloth,qwen2.5:7b,qwen2.5_7b,1.0,40,baseline
Q009,E,Sports,0,Equestrian,qwen2.5:7b,qwen2.5_7b,1.0,40,baseline
Q009,E,Sports,1,Erasing,qwen2.5:7b,qwen2.5_7b,1.0,40,baseline
Q010,E,Movie titles,0,Evil Dead,qwen2.5:7b,qwen2.5_7b,1.0,40,baseline
Q010,E,Movie titles,1,E.T.,qwen2.5:7b,qwen2.5_7b,1.0,40,baseline
Q011,F,Fish,0,Flounder,qwen2.5:7b,qwen2.5_7b,1.0,40,baseline
Q011,F,Fish,1,Flounder,qwen2.5:7b,qwen2.5_7b,1.0,40,baseline
Q012,F,Things in a backpack,0,Flashlight,qwen2.5:7b,qwen2.5_7b,1.0,40,baseline
