source_file,player_id,question_id,letter,category,round_idx,answer_raw,answer_norm,valid,collision,score,round_key
pairwise_outputs/answers_qwen2.5_7b_selfA.csv,answers_qwen2.5_7b_selfA,Q001,A,Animals,0,Albatross,albatross,1,0,1,Q001::0
pairwise_outputs/answers_qwen2.5_7b_selfA.csv,answers_qwen2.5_7b_selfA,Q001,A,Animals,1,Albatross,albatross,1,0,1,Q001::1
pairwise_outputs/answers_qwen2.5_7b_selfA.csv,answers_qwen2.5_7b_selfA,Q002,A,Jobs,0,Actor,actor,1,0,1,Q002::0
pairwise_outputs/answers_qwen2.5_7b_selfA.csv,answers_qwen2.5_7b_selfA,Q002,A,Jobs,1,Actor,actor,1,1,0,Q002::1
pairwise_outputs/answers_qwen2.5_7b_selfA.csv,answers_qwen2.5_7b_selfA,Q003,B,Fruits,0,Banana,banana,1,0,1,Q003::0
pairwise_outputs/answers_qwen2.5_7b_selfA.csv,answers_qwen2.5_7b_selfA,Q003,B,Fruits,1,Banana,banana,1,1,0,Q003::1
pairwise_outputs/answers_qwen2.5_7b_selfA.csv,answers_qwen2.5_7b_selfA,Q004,B,Things that are red,0,Berry,berry,1,1,0,Q004::0
pairwise_outputs/answers_qwen2.5_7b_selfA.csv,answers_qwen2.5_7b_selfA,Q004,B,Things that are red,1,Beet,beet,1,0,1,Q004::1
pairwise_outputs/answers_qwen2.5_7b_selfA.csv,answers_qwen2.5_7b_selfA,Q005,C,Countries,0,Canada,canada,1,0,1,Q005::0
pairwise_outputs/answers_qwen2.5_7b_selfA.csv,answers_qwen2.5_7b_selfA,Q005,C,Countries,1,Cuba,cuba,1,0,1,Q005::1
pairwise_outputs/answers_qwen2.5_7b_selfA.csv,answers_qwen2.5_7b_selfA,Q006,C,Board games,0,Cluefinding,cluefinding,0,0,0,Q006::0
pairwise_outputs/answers_qwen2.5_7b_selfA.csv,answers_qwen2.5_7b_selfA,Q006,C,Board games,1,Chess,chess,1,1,0,Q006::1
pairwise_outputs/answers_qwen2.5_7b_selfA.csv,answers_qwen2.5_7b_selfA,Q007,D,Musical instruments,0,Didgeridoo,didgeridoo,1,1,0,Q007::0
pairwise_outputs/answers_qwen2.5_7b_selfA.csv,answers_qwen2.5_7b_selfA,Q007,D,Musical instruments,1,Didgeridoo,didgeridoo,1,0,1,Q007::1
pairwise_outputs/answers_qwen2.5_7b_selfA.csv,answers_qwen2.5_7b_selfA,Q008,D,Things in a bathroom,0,Dishcloth,dishcloth,1,0,1,Q008::0
pairwise_outputs/answers_qwen2.5_7b_selfA.csv,answers_qwen2.5_7b_selfA,Q008,D,Things in a bathroom,1,Door,door,1,0,1,Q008::1
pairwise_outputs/answers_qwen2.5_7b_selfA.csv,answers_qwen2.5_7b_selfA,Q009,E,Sports,0,Equestrian,equestrian,1,1,0,Q009::0
pairwise_outputs/answers_qwen2.5_7b_selfA.csv,answers_qwen2.5_7b_selfA,Q009,E,Sports,1,Equestrian,equestrian,1,1,0,Q009::1
pairwise_outputs/answers_qwen2.5_7b_selfA.csv,answers_qwen2.5_7b_selfA,Q010,E,Movie titles,0,Election Day,election day,0,0,0,Q010::0
pairwise_outputs/answers_qwen2.5_7b_selfA.csv,answers_qwen2.5_7b_selfA,Q010,E,Movie titles,1,Eyes Wide Shut,eyes wide shut,1,0,1,Q010::1
pairwise_outputs/answers_qwen2.5_7b_selfA.csv,answers_qwen2.5_7b_selfA,Q011,F,Fish,0,Flounder,flounder,1,1,0,Q011::0
pairwise_outputs/answers_qwen2.5_7b_selfA.csv,answers_qwen2.5_7b_selfA,Q011,F,Fish,1,Flounder,flounder,1,1,0,Q011::1
pairwise_outputs/answers_qwen2.5_7b_selfA.csv,answers_qwen2.5_7b_selfA,Q012,F,Things in a backpack,0,Frisbee,frisbee,1,0,1,Q012::0
pairwise_outputs/answers_qwen2.5_7b_selfA.csv,answers_qwen2.5_7b_selfA,Q012,F,Things in a backpack,1,Fiber,fiber,0,0,0,Q012::1
pairwise_outputs/answers_qwen2.5_7b_selfA.csv,answers_qwen2.5_7b_selfA,Q013,G,U.S. states,0,Georgia,georgia,1,1,0,Q013::0
pairwise_outputs/answers_qwen2.5_7b_selfA.csv,answers_qwen2.5_7b_selfA,Q013,G,U.S. states,1,Georgia,georgia,1,1,0,Q013::1
pairwise_outputs/answers_qwen2.5_7b_selfA.csv,answers_qwen2.5_7b_selfA,Q014,G,Foods,0,Grapefruit,grapefruit,1,1,0,Q014::0
pairwise_outputs/answers_qwen2.5_7b_selfA.csv,answers_qwen2.5_7b_selfA,Q014,G,Foods,1,Grill,grill,0,0,0,Q014::1
pairwise_outputs/answers_qwen2.5_7b_selfA.csv,answers_qwen2.5_7b_selfA,Q015,H,Famous scientists,0,Hawking,hawking,1,0,1,Q015::0
pairwise_outputs/answers_qwen2.5_7b_selfA.csv,answers_qwen2.5_7b_selfA,Q015,H,Famous scientists,1,Hawking,hawking,1,1,0,Q015::1
pairwise_outputs/answers_qwen2.5_7b_selfA.csv,answers_qwen2.5_7b_selfA,Q016,H,Things at the beach,0,Helmet,helmet,0,0,0,Q016::0
pairwise_outputs/answers_qwen2.5_7b_selfA.csv,answers_qwen2.5_7b_selfA,Q016,H,Things at the beach,1,Helmet,helmet,0,0,0,Q016::1
pairwise_outputs/answers_qwen2.5_7b_selfA.csv,answers_qwen2.5_7b_selfA,Q017,I,Cities,0,Istanbul,istanbul,0,0,0,Q017::0
pairwise_outputs/answers_qwen2.5_7b_selfA.csv,answers_qwen2.5_7b_selfA,Q017,I,Cities,1,Istanbul,istanbul,0,0,0,Q017::1
pairwise_outputs/answers_qwen2.5_7b_selfA.csv,answers_qwen2.5_7b_selfA,Q018,I,Things in a classroom,0,Ivy,ivy,0,0,0,Q018::0
pairwise_outputs/answers_qwen2.5_7b_selfA.csv,answers_qwen2.5_7b_selfA,Q018,I,Things in a classroom,1,Ipad,ipad,1,1,0,Q018::1
pairwise_outputs/answers_qwen2.5_7b_selfA.csv,answers_qwen2.5_7b_selfA,Q019,J,Car brands,0,Jeep,jeep,1,1,0,Q019::0
pairwise_outputs/answers_qwen2.5_7b_selfA.csv,answers_qwen2.5_7b_selfA,Q019,J,Car brands,1,Jeep,jeep,1,1,0,Q019::1
pairwise_outputs/answers_qwen2.5_7b_selfA.csv,answers_qwen2.5_7b_selfA,Q020,J,Video game titles,0,Jet Set Radio,jet set radio,1,0,1,Q020::0
pairwise_outputs/answers_qwen2.5_7b_selfA.csv,answers_qwen2.5_7b_selfA,Q020,J,Video game titles,1,Jet Set Radio,jet set radio,1,0,1,Q020::1
pairwise_outputs/answers_qwen2.5_7b_selfA.csv,answers_qwen2.5_7b_selfA,Q021,K,Superheroes,0,Katana,katana,0,0,0,Q021::0
pairwise_outputs/answers_qwen2.5_7b_selfA.csv,answers_qwen2.5_7b_selfA,Q021,K,Superheroes,1,Kraken,kraken,0,0,0,Q021::1
pairwise_outputs/answers_qwen2.5_7b_selfA.csv,answers_qwen2.5_7b_selfA,Q022,K,Things in a grocery store,0,Ketchup,ketchup,1,0,1,Q022::0
pairwise_outputs/answers_qwen2.5_7b_selfA.csv,answers_qwen2.5_7b_selfA,Q022,K,Things in a grocery store,1,Kale,kale,1,1,0,Q022::1
pairwise_outputs/answers_qwen2.5_7b_selfA.csv,answers_qwen2.5_7b_selfA,Q023,L,Dog breeds,0,Labrador Retriever,labrador retriever,1,0,1,Q023::0
pairwise_outputs/answers_qwen2.5_7b_selfA.csv,answers_qwen2.5_7b_selfA,Q023,L,Dog breeds,1,Labrador,labrador,1,0,1,Q023::1
pairwise_outputs/answers_qwen2.5_7b_selfA.csv,answers_qwen2.5_7b_selfA,Q024,L,Books,0,Lord of the Rings,lord of the rings,1,1,0,Q024::0
pairwise_outputs/answers_qwen2.5_7b_selfA.csv,answers_qwen2.5_7b_selfA,Q024,L,Books,1,Lord of the Rings,lord of the rings,1,1,0,Q024::1
pairwise_outputs/answers_qwen2.5_7b_selfA.csv,answers_qwen2.5_7b_selfA,Q025,M,Languages,0,Mandarin,mandarin,1,1,0,Q025::0
pairwise_outputs/answers_qwen2.5_7b_selfA.csv,answers_qwen2.5_7b_selfA,Q025,M,Languages,1,Mandarin,mandarin,1,0,1,Q025::1
pairwise_outputs/answers_qwen2.5_7b_selfA.csv,answers_qwen2.5_7b_selfA,Q026,M,Clothing items,0,Mourinho,mourinho,0,0,0,Q026::0
pairwise_outputs/answers_qwen2.5_7b_selfA.csv,answers_qwen2.5_7b_selfA,Q026,M,Clothing items,1,Mittens,mittens,1,0,1,Q026::1
pairwise_outputs/answers_qwen2.5_7b_selfA.csv,answers_qwen2.5_7b_selfA,Q027,N,Birds,0,Nitrogenous,nitrogenous,0,0,0,Q027::0
pairwise_outputs/answers_qwen2.5_7b_selfA.csv,answers_qwen2.5_7b_selfA,Q027,N,Birds,1,Nightingale,nightingale,1,1,0,Q027::1
pairwise_outputs/answers_qwen2.5_7b_selfA.csv,answers_qwen2.5_7b_selfA,Q028,N,Things in a hospital,0,Nurse,nurse,1,1,0,Q028::0
pairwise_outputs/answers_qwen2.5_7b_selfA.csv,answers_qwen2.5_7b_selfA,Q028,N,Things in a hospital,1,Nurse,nurse,1,1,0,Q028::1
pairwise_outputs/answers_qwen2.5_7b_selfA.csv,answers_qwen2.5_7b_selfA,Q029,O,Companies,0,Oracle,oracle,1,1,0,Q029::0
pairwise_outputs/answers_qwen2.5_7b_selfA.csv,answers_qwen2.5_7b_selfA,Q029,O,Companies,1,Oracle,oracle,1,1,0,Q029::1
pairwise_outputs/answers_qwen2.5_7b_selfA.csv,answers_qwen2.5_7b_selfA,Q030,O,Things in the sky,0,Orbit,orbit,1,0,1,Q030::0
pairwise_outputs/answers_qwen2.5_7b_selfA.csv,answers_qwen2.5_7b_selfA,Q030,O,Things in the sky,1,Orbit,orbit,1,0,1,Q030::1
pairwise_outputs/answers_qwen2.5_7b_selfA.csv,answers_qwen2.5_7b_selfA,Q031,P,Vegetables,0,"Pepperoni (Note: Pepperoni is a meat product, not a vegetable","pepperoni (note: pepperoni is a meat product, not a vegetable",0,0,0,Q031::0
pairwise_outputs/answers_qwen2.5_7b_selfA.csv,answers_qwen2.5_7b_selfA,Q031,P,Vegetables,1,"Pepperoni (Note: Pepperoni is not a vegetable, but since the","pepperoni (note: pepperoni is not a vegetable, but since the",0,0,0,Q031::1
pairwise_outputs/answers_qwen2.5_7b_selfA.csv,answers_qwen2.5_7b_selfA,Q032,P,Historical figures,0,Pope,pope,0,0,0,Q032::0
pairwise_outputs/answers_qwen2.5_7b_selfA.csv,answers_qwen2.5_7b_selfA,Q032,P,Historical figures,1,Plato,plato,1,0,1,Q032::1
