,q1,q2,q3,q4,q5,q6,q7
A lot,0.0,0.0,0.28458549903853103,0.0,0.0,0.09684483954534366,0.0
"It's important for a person to be honest, kind and loyal.",0.4338416119901166,0.0,0.0,0.0,0.0,0.0,0.0
"It's important for a person to be honest, kind, and loyal.",0.5661583880098834,0.0,0.0,0.0,0.0,0.0,0.0
Neither important nor unimportant (neutral),0.0,0.0,0.0,0.0,0.0,0.0,0.041424602521826
No,0.0,0.4178645417033486,0.0,0.0,0.5408331892700332,0.0,0.0
Not at all,0.0,0.0,0.10197205345831352,0.0,0.0,0.19279694548812137,0.0
Not much,0.0,0.0,0.2671689772750656,0.0,0.0,0.40277829050252295,0.0
Some,0.0,0.0,0.34627347022809,0.0,0.0,0.3075799244640121,0.0
"Some experts say it's important to drink milk, but the data are inconclusive.",0.0,0.0,0.0,0.15541396142113625,0.0,0.0,0.0
"Some experts say it's important to drink milk, but the data is inconclusive.",0.0,0.0,0.0,0.8445860385788637,0.0,0.0,0.0
Somewhat important,0.0,0.0,0.0,0.0,0.0,0.0,0.31622125858875105
Somewhat unimportant,0.0,0.0,0.0,0.0,0.0,0.0,0.0054732510229650215
Very important,0.0,0.0,0.0,0.0,0.0,0.0,0.6347021359558812
Very unimportant,0.0,0.0,0.0,0.0,0.0,0.0,0.002178751910576246
Yes,0.0,0.5821354582966515,0.0,0.0,0.4591668107299668,0.0,0.0
