question_id,letter,category,round_idx,answer,model,player_id,temperature,top_k,prompt_id
Q001,A,Animals,0,Alpaca,gemma2:2b,gemma2_2b_selfA,1.0,40,baseline
Q001,A,Animals,1,Aardvark,gemma2:2b,gemma2_2b_selfA,1.0,40,baseline
Q002,A,Jobs,0,Accountant,gemma2:2b,gemma2_2b_selfA,1.0,40,baseline
Q002,A,Jobs,1,Accountant,gemma2:2b,gemma2_2b_selfA,1.0,40,baseline
Q003,B,Fruits,0,Blackberry,gemma2:2b,gemma2_2b_selfA,1.0,40,baseline
Q003,B,Fruits,1,Blackberry,gemma2:2b,gemma2_2b_selfA,1.0,40,baseline
Q004,B,Things that are red,0,Banana,gemma2:2b,gemma2_2b_selfA,1.0,40,baseline
Q004,B,Things that are red,1,Barbecue,gemma2:2b,gemma2_2b_selfA,1.0,40,baseline
Q005,C,Countries,0,Cambodia,gemma2:2b,gemma2_2b_selfA,1.0,40,baseline
Q005,C,Countries,1,Canada,gemma2:2b,gemma2_2b_selfA,1.0,40,baseline
Q006,C,Board games,0,Clue,gemma2:2b,gemma2_2b_selfA,1.0,40,baseline
Q006,C,Board games,1,Candyland,gemma2:2b,gemma2_2b_selfA,1.0,40,baseline
Q007,D,Musical instruments,0,Didgeridoo,gemma2:2b,gemma2_2b_selfA,1.0,40,baseline
Q007,D,Musical instruments,1,Djembe,gemma2:2b,gemma2_2b_selfA,1.0,40,baseline
Q008,D,Things in a bathroom,0,Toothbrush,gemma2:2b,gemma2_2b_selfA,1.0,40,baseline
Q008,D,Things in a bathroom,1,Deodorant,gemma2:2b,gemma2_2b_selfA,1.0,40,baseline
Q009,E,Sports,0,Equestrian,gemma2:2b,gemma2_2b_selfA,1.0,40,baseline
Q009,E,Sports,1,E-sports,gemma2:2b,gemma2_2b_selfA,1.0,40,baseline
Q010,E,Movie titles,0,Edward Scissorhands,gemma2:2b,gemma2_2b_selfA,1.0,40,baseline
Q010,E,Movie titles,1,Edward Scissorhands,gemma2:2b,gemma2_2b_selfA,1.0,40,baseline
Q011,F,Fish,0,Flounder,gemma2:2b,gemma2_2b_selfA,1.0,40,baseline
Q011,F,Fish,1,Flounder,gemma2:2b,gemma2_2b_selfA,1.0,40,baseline
Q012,F,Things in a backpack,0,Fanny pack,gemma2:2b,gemma2_2b_selfA,1.0,40,baseline
Q012,F,Things in a backpack,1,Flashlight,gemma2:2b,gemma2_2b_selfA,1.0,40,baseline
Q013,G,U.S. states,0,Georgia,gemma2:2b,gemma2_2b_selfA,1.0,40,baseline
Q013,G,U.S. states,1,Georgia,gemma2:2b,gemma2_2b_selfA,1.0,40,baseline
Q014,G,Foods,0,Ginger,gemma2:2b,gemma2_2b_selfA,1.0,40,baseline
