,q1,q2,q3,q4,q5,q6,q7
A lot,0.0,0.0,0.2690909090909091,0.0,0.0,0.11151515151515151,0.0
"It's important for a person to be honest, kind and loyal.",0.4303030303030303,0.0,0.0,0.0,0.0,0.0,0.0
"It's important for a person to be honest, kind, and loyal.",0.5696969696969697,0.0,0.0,0.0,0.0,0.0,0.0
Neither important nor unimportant (neutral),0.0,0.0,0.0,0.0,0.0,0.0,0.025454545454545455
No,0.0,0.3975757575757576,0.0,0.0,0.4921212121212121,0.0,0.0
Not at all,0.0,0.0,0.10424242424242425,0.0,0.0,0.1806060606060606,0.0
Not much,0.0,0.0,0.2496969696969697,0.0,0.0,0.3890909090909091,0.0
Some,0.0,0.0,0.37696969696969695,0.0,0.0,0.3187878787878788,0.0
"Some experts say it's important to drink milk, but the data are inconclusive.",0.0,0.0,0.0,0.1987878787878788,0.0,0.0,0.0
"Some experts say it's important to drink milk, but the data is inconclusive.",0.0,0.0,0.0,0.8012121212121213,0.0,0.0,0.0
Somewhat important,0.0,0.0,0.0,0.0,0.0,0.0,0.32242424242424245
Somewhat unimportant,0.0,0.0,0.0,0.0,0.0,0.0,0.006060606060606061
Very important,0.0,0.0,0.0,0.0,0.0,0.0,0.6436363636363637
Very unimportant,0.0,0.0,0.0,0.0,0.0,0.0,0.0024242424242424242
Yes,0.0,0.6024242424242424,0.0,0.0,0.5078787878787879,0.0,0.0
