question_id,letter,category,round_idx,answer,model,player_id,temperature,top_k,prompt_id
Q001,A,Animals,0,Eagle,mistral:7b,mistral_7b_selfA,1.0,40,baseline
Q001,A,Animals,1,Aardvark,mistral:7b,mistral_7b_selfA,1.0,40,baseline
Q002,A,Jobs,0,Architect,mistral:7b,mistral_7b_selfA,1.0,40,baseline
Q002,A,Jobs,1,Architect,mistral:7b,mistral_7b_selfA,1.0,40,baseline
Q003,B,Fruits,0,Blueberry,mistral:7b,mistral_7b_selfA,1.0,40,baseline
Q003,B,Fruits,1,Blueberry,mistral:7b,mistral_7b_selfA,1.0,40,baseline
Q004,B,Things that are red,0,"Balloon (or Bloody Mary, if context permits)",mistral:7b,mistral_7b_selfA,1.0,40,baseline
Q004,B,Things that are red,1,Bloodberry,mistral:7b,mistral_7b_selfA,1.0,40,baseline
Q005,C,Countries,0,Canada,mistral:7b,mistral_7b_selfA,1.0,40,baseline
Q005,C,Countries,1,Canada,mistral:7b,mistral_7b_selfA,1.0,40,baseline
Q006,C,Board games,0,"Clue Master

Clue: This popular trivia game involves revealing",mistral:7b,mistral_7b_selfA,1.0,40,baseline
Q006,C,Board games,1,Clue Mastermind,mistral:7b,mistral_7b_selfA,1.0,40,baseline
Q007,D,Musical instruments,0,Didgeridoo,mistral:7b,mistral_7b_selfA,1.0,40,baseline
Q007,D,Musical instruments,1,Double bass,mistral:7b,mistral_7b_selfA,1.0,40,baseline
Q008,D,Things in a bathroom,0,Deodorant,mistral:7b,mistral_7b_selfA,1.0,40,baseline
Q008,D,Things in a bathroom,1,Showerhead,mistral:7b,mistral_7b_selfA,1.0,40,baseline
Q009,E,Sports,0,Equestrianism,mistral:7b,mistral_7b_selfA,1.0,40,baseline
Q009,E,Sports,1,Equestrianism,mistral:7b,mistral_7b_selfA,1.0,40,baseline
Q010,E,Movie titles,0,"""Escape from New York""",mistral:7b,mistral_7b_selfA,1.0,40,baseline
Q010,E,Movie titles,1,Easy Rider,mistral:7b,mistral_7b_selfA,1.0,40,baseline
Q011,F,Fish,0,Flounder,mistral:7b,mistral_7b_selfA,1.0,40,baseline
Q011,F,Fish,1,Flounder,mistral:7b,mistral_7b_selfA,1.0,40,baseline
Q012,F,Things in a backpack,0,First-aid kit,mistral:7b,mistral_7b_selfA,1.0,40,baseline
Q012,F,Things in a backpack,1,Flashlight,mistral:7b,mistral_7b_selfA,1.0,40,baseline
Q013,G,U.S. states,0,Georgia,mistral:7b,mistral_7b_selfA,1.0,40,baseline
Q013,G,U.S. states,1,Georgia,mistral:7b,mistral_7b_selfA,1.0,40,baseline
Q014,G,Foods,0,Grits,mistral:7b,mistral_7b_selfA,1.0,40,baseline
Q014,G,Foods,1,Granola,mistral:7b,mistral_7b_selfA,1.0,40,baseline
Q015,H,Famous scientists,0,Hawking,mistral:7b,mistral_7b_selfA,1.0,40,baseline
Q015,H,Famous scientists,1,Hawking,mistral:7b,mistral_7b_selfA,1.0,40,baseline
Q016,H,Things at the beach,0,Hammock,mistral:7b,mistral_7b_selfA,1.0,40,baseline
Q016,H,Things at the beach,1,Hammock,mistral:7b,mistral_7b_selfA,1.0,40,baseline
Q017,I,Cities,0,Istanbul,mistral:7b,mistral_7b_selfA,1.0,40,baseline
Q017,I,Cities,1,Istanbul,mistral:7b,mistral_7b_selfA,1.0,40,baseline
Q018,I,Things in a classroom,0,Interactive Whiteboard,mistral:7b,mistral_7b_selfA,1.0,40,baseline
Q018,I,Things in a classroom,1,Interactive Whiteboard,mistral:7b,mistral_7b_selfA,1.0,40,baseline
Q019,J,Car brands,0,Jaguar,mistral:7b,mistral_7b_selfA,1.0,40,baseline
Q019,J,Car brands,1,Jaguar,mistral:7b,mistral_7b_selfA,1.0,40,baseline
Q020,J,Video game titles,0,Jetset Radicals,mistral:7b,mistral_7b_selfA,1.0,40,baseline
Q020,J,Video game titles,1,Jazz Jackrabbit,mistral:7b,mistral_7b_selfA,1.0,40,baseline
Q021,K,Superheroes,0,Kryptonian (Superman),mistral:7b,mistral_7b_selfA,1.0,40,baseline
Q021,K,Superheroes,1,"Knightmare

Additional suggestions for the Scattergories game, all",mistral:7b,mistral_7b_selfA,1.0,40,baseline
Q022,K,Things in a grocery store,0,Kiwi,mistral:7b,mistral_7b_selfA,1.0,40,baseline
Q022,K,Things in a grocery store,1,Ketchup,mistral:7b,mistral_7b_selfA,1.0,40,baseline
Q023,L,Dog breeds,0,Labrador,mistral:7b,mistral_7b_selfA,1.0,40,baseline
Q023,L,Dog breeds,1,Labrador,mistral:7b,mistral_7b_selfA,1.0,40,baseline
Q024,L,Books,0,"""Lord of the Rings""",mistral:7b,mistral_7b_selfA,1.0,40,baseline
Q024,L,Books,1,"""Lord of the Rings""",mistral:7b,mistral_7b_selfA,1.0,40,baseline
Q025,M,Languages,0,Mandarin,mistral:7b,mistral_7b_selfA,1.0,40,baseline
Q025,M,Languages,1,Mandarin,mistral:7b,mistral_7b_selfA,1.0,40,baseline
Q026,M,Clothing items,0,Mittens,mistral:7b,mistral_7b_selfA,1.0,40,baseline
Q026,M,Clothing items,1,Mittens,mistral:7b,mistral_7b_selfA,1.0,40,baseline
Q027,N,Birds,0,Nightingale,mistral:7b,mistral_7b_selfA,1.0,40,baseline
Q027,N,Birds,1,Nightingale,mistral:7b,mistral_7b_selfA,1.0,40,baseline
Q028,N,Things in a hospital,0,Nurse,mistral:7b,mistral_7b_selfA,1.0,40,baseline
Q028,N,Things in a hospital,1,Nurse,mistral:7b,mistral_7b_selfA,1.0,40,baseline
Q029,O,Companies,0,Oracle,mistral:7b,mistral_7b_selfA,1.0,40,baseline
Q029,O,Companies,1,"Oracle, Oculus, Old Navy",mistral:7b,mistral_7b_selfA,1.0,40,baseline
Q030,O,Things in the sky,0,Orion (Constellation),mistral:7b,mistral_7b_selfA,1.0,40,baseline
Q030,O,Things in the sky,1,"Owl, Orion (constellation)",mistral:7b,mistral_7b_selfA,1.0,40,baseline
Q031,P,Vegetables,0,Peppers,mistral:7b,mistral_7b_selfA,1.0,40,baseline
Q031,P,Vegetables,1,Peppers,mistral:7b,mistral_7b_selfA,1.0,40,baseline
Q032,P,Historical figures,0,Paul Revere,mistral:7b,mistral_7b_selfA,1.0,40,baseline
Q032,P,Historical figures,1,Paul Revere,mistral:7b,mistral_7b_selfA,1.0,40,baseline
Q033,Q,Words in English,0,Quilt,mistral:7b,mistral_7b_selfA,1.0,40,baseline
Q033,Q,Words in English,1,Quilt,mistral:7b,mistral_7b_selfA,1.0,40,baseline
Q034,Q,Fictional characters,0,Quagmire (Family Guy),mistral:7b,mistral_7b_selfA,1.0,40,baseline
Q034,Q,Fictional characters,1,Quasimodo (Hunchback of Notre Dame),mistral:7b,mistral_7b_selfA,1.0,40,baseline
Q035,R,Songs,0,"""Rolling in the Deep""",mistral:7b,mistral_7b_selfA,1.0,40,baseline
Q035,R,Songs,1,Rolling in the Deep,mistral:7b,mistral_7b_selfA,1.0,40,baseline
Q036,R,Tools,0,Rake,mistral:7b,mistral_7b_selfA,1.0,40,baseline
Q036,R,Tools,1,Rake,mistral:7b,mistral_7b_selfA,1.0,40,baseline
Q037,S,Animals,0,Sea Turtle,mistral:7b,mistral_7b_selfA,1.0,40,baseline
Q037,S,Animals,1,Seal,mistral:7b,mistral_7b_selfA,1.0,40,baseline
Q038,S,Things in an office,0,Stapler,mistral:7b,mistral_7b_selfA,1.0,40,baseline
Q038,S,Things in an office,1,Stapler,mistral:7b,mistral_7b_selfA,1.0,40,baseline
Q039,T,Countries,0,Timor-Leste,mistral:7b,mistral_7b_selfA,1.0,40,baseline
Q039,T,Countries,1,Timor-Leste,mistral:7b,mistral_7b_selfA,1.0,40,baseline
Q040,T,TV shows,0,The Adam's Family (TV show),mistral:7b,mistral_7b_selfA,1.0,40,baseline
Q040,T,TV shows,1,The Adams Family,mistral:7b,mistral_7b_selfA,1.0,40,baseline
Q041,U,U.S. colleges,0,University of Utah,mistral:7b,mistral_7b_selfA,1.0,40,baseline
Q041,U,U.S. colleges,1,University of Utah,mistral:7b,mistral_7b_selfA,1.0,40,baseline
Q042,U,Things in a garage,0,Utility Belt,mistral:7b,mistral_7b_selfA,1.0,40,baseline
Q042,U,Things in a garage,1,Utility cart,mistral:7b,mistral_7b_selfA,1.0,40,baseline
Q043,V,Jobs,0,Veterinarian,mistral:7b,mistral_7b_selfA,1.0,40,baseline
