question,question_label,answer,human_raw,human_poststrat,human_post_minus_raw,gpt_raw,gpt_poststrat,gpt_post_minus_raw,diff_raw_gpt_minus_human,diff_poststrat_gpt_minus_human
q1,comma_preference,A lot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q1,comma_preference,"It's important for a person to be honest, kind and loyal.",0.4303030303030303,0.4338416119901166,0.0035385816870863174,0.1409090909090909,0.2268338866617807,0.0859247957526898,-0.2893939393939394,-0.20700772532833592
q1,comma_preference,"It's important for a person to be honest, kind, and loyal.",0.5696969696969697,0.5661583880098834,-0.0035385816870863174,0.8590909090909091,0.7731661133382192,-0.08592479575268996,0.2893939393939394,0.20700772532833578
q1,comma_preference,Neither important nor unimportant (neutral),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q1,comma_preference,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q1,comma_preference,Not at all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q1,comma_preference,Not much,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q1,comma_preference,Some,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q1,comma_preference,"Some experts say it's important to drink milk, but the data are inconclusive.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q1,comma_preference,"Some experts say it's important to drink milk, but the data is inconclusive.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q1,comma_preference,Somewhat important,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q1,comma_preference,Somewhat unimportant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q1,comma_preference,Very important,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q1,comma_preference,Very unimportant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q1,comma_preference,Yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q2,heard_of_comma,A lot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q2,heard_of_comma,"It's important for a person to be honest, kind and loyal.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q2,heard_of_comma,"It's important for a person to be honest, kind, and loyal.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q2,heard_of_comma,Neither important nor unimportant (neutral),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q2,heard_of_comma,No,0.3975757575757576,0.4178645417033486,0.020288784127590997,0.1727272727272727,0.2656928603057559,0.0929655875784832,-0.22484848484848488,-0.15217168139759268
q2,heard_of_comma,Not at all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q2,heard_of_comma,Not much,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q2,heard_of_comma,Some,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q2,heard_of_comma,"Some experts say it's important to drink milk, but the data are inconclusive.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q2,heard_of_comma,"Some experts say it's important to drink milk, but the data is inconclusive.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q2,heard_of_comma,Somewhat important,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q2,heard_of_comma,Somewhat unimportant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q2,heard_of_comma,Very important,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q2,heard_of_comma,Very unimportant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q2,heard_of_comma,Yes,0.6024242424242424,0.5821354582966515,-0.020288784127590942,0.8272727272727273,0.7343071396942441,-0.09296558757848317,0.22484848484848485,0.15217168139759263
q3,care_oxford_comma,A lot,0.2690909090909091,0.284585499038531,0.015494589947621873,0.2818181818181818,0.1769998287425331,-0.10481835307564871,0.012727272727272698,-0.10758567029599789
q3,care_oxford_comma,"It's important for a person to be honest, kind and loyal.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q3,care_oxford_comma,"It's important for a person to be honest, kind, and loyal.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q3,care_oxford_comma,Neither important nor unimportant (neutral),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q3,care_oxford_comma,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q3,care_oxford_comma,Not at all,0.1042424242424242,0.1019720534583135,-0.0022703707841107007,0.0,0.0,0.0,-0.1042424242424242,-0.1019720534583135
