,q1,q2,q3,q4,q5,q6,q7
A lot,0.0,0.0,0.2818181818181818,0.0,0.0,0.022727272727272728,0.0
"It's important for a person to be honest, kind and loyal.",0.1409090909090909,0.0,0.0,0.0,0.0,0.0,0.0
"It's important for a person to be honest, kind, and loyal.",0.8590909090909091,0.0,0.0,0.0,0.0,0.0,0.0
No,0.0,0.17272727272727273,0.0,0.0,0.43636363636363634,0.0,0.0
Not at all,0.0,0.0,0.0,0.0,0.0,0.013636363636363636,0.0
Not much,0.0,0.0,0.2590909090909091,0.0,0.0,0.43636363636363634,0.0
Some,0.0,0.0,0.4590909090909091,0.0,0.0,0.5272727272727272,0.0
"Some experts say it's important to drink milk, but the data are inconclusive.",0.0,0.0,0.0,0.6636363636363637,0.0,0.0,0.0
"Some experts say it's important to drink milk, but the data is inconclusive.",0.0,0.0,0.0,0.33636363636363636,0.0,0.0,0.0
Somewhat important,0.0,0.0,0.0,0.0,0.0,0.0,0.5318181818181819
Somewhat unimportant,0.0,0.0,0.0,0.0,0.0,0.0,0.004545454545454545
Very important,0.0,0.0,0.0,0.0,0.0,0.0,0.4636363636363636
Yes,0.0,0.8272727272727273,0.0,0.0,0.5636363636363636,0.0,0.0
