source_file,player_id,question_id,letter,category,round_idx,answer_raw,answer_norm,valid,collision,score,round_key
pairwise_outputs/answers_mistral_7b_selfA.csv,answers_mistral_7b_selfA,Q001,A,Animals,0,Eagle,eagle,0,0,0,Q001::0
pairwise_outputs/answers_mistral_7b_selfA.csv,answers_mistral_7b_selfA,Q001,A,Animals,1,Aardvark,aardvark,1,1,0,Q001::1
pairwise_outputs/answers_mistral_7b_selfA.csv,answers_mistral_7b_selfA,Q002,A,Jobs,0,Architect,architect,1,1,0,Q002::0
pairwise_outputs/answers_mistral_7b_selfA.csv,answers_mistral_7b_selfA,Q002,A,Jobs,1,Architect,architect,1,1,0,Q002::1
pairwise_outputs/answers_mistral_7b_selfA.csv,answers_mistral_7b_selfA,Q003,B,Fruits,0,Blueberry,blueberry,1,1,0,Q003::0
pairwise_outputs/answers_mistral_7b_selfA.csv,answers_mistral_7b_selfA,Q003,B,Fruits,1,Blueberry,blueberry,1,1,0,Q003::1
pairwise_outputs/answers_mistral_7b_selfA.csv,answers_mistral_7b_selfA,Q004,B,Things that are red,0,"Balloon (or Bloody Mary, if context permits)","balloon (or bloody mary, if context permits",1,0,1,Q004::0
pairwise_outputs/answers_mistral_7b_selfA.csv,answers_mistral_7b_selfA,Q004,B,Things that are red,1,Bloodberry,bloodberry,0,0,0,Q004::1
pairwise_outputs/answers_mistral_7b_selfA.csv,answers_mistral_7b_selfA,Q005,C,Countries,0,Canada,canada,1,1,0,Q005::0
pairwise_outputs/answers_mistral_7b_selfA.csv,answers_mistral_7b_selfA,Q005,C,Countries,1,Canada,canada,1,1,0,Q005::1
pairwise_outputs/answers_mistral_7b_selfA.csv,answers_mistral_7b_selfA,Q006,C,Board games,0,"Clue Master

Clue: This popular trivia game involves revealing",clue master clue: this popular trivia game involves revealing,0,0,0,Q006::0
pairwise_outputs/answers_mistral_7b_selfA.csv,answers_mistral_7b_selfA,Q006,C,Board games,1,Clue Mastermind,clue mastermind,0,0,0,Q006::1
pairwise_outputs/answers_mistral_7b_selfA.csv,answers_mistral_7b_selfA,Q007,D,Musical instruments,0,Didgeridoo,didgeridoo,1,0,1,Q007::0
pairwise_outputs/answers_mistral_7b_selfA.csv,answers_mistral_7b_selfA,Q007,D,Musical instruments,1,Double bass,double bass,1,1,0,Q007::1
pairwise_outputs/answers_mistral_7b_selfA.csv,answers_mistral_7b_selfA,Q008,D,Things in a bathroom,0,Deodorant,deodorant,1,0,1,Q008::0
pairwise_outputs/answers_mistral_7b_selfA.csv,answers_mistral_7b_selfA,Q008,D,Things in a bathroom,1,Showerhead,showerhead,1,1,0,Q008::1
pairwise_outputs/answers_mistral_7b_selfA.csv,answers_mistral_7b_selfA,Q009,E,Sports,0,Equestrianism,equestrianism,1,1,0,Q009::0
pairwise_outputs/answers_mistral_7b_selfA.csv,answers_mistral_7b_selfA,Q009,E,Sports,1,Equestrianism,equestrianism,1,1,0,Q009::1
pairwise_outputs/answers_mistral_7b_selfA.csv,answers_mistral_7b_selfA,Q010,E,Movie titles,0,"""Escape from New York""",escape from new york,0,0,0,Q010::0
pairwise_outputs/answers_mistral_7b_selfA.csv,answers_mistral_7b_selfA,Q010,E,Movie titles,1,Easy Rider,easy rider,1,1,0,Q010::1
pairwise_outputs/answers_mistral_7b_selfA.csv,answers_mistral_7b_selfA,Q011,F,Fish,0,Flounder,flounder,1,1,0,Q011::0
pairwise_outputs/answers_mistral_7b_selfA.csv,answers_mistral_7b_selfA,Q011,F,Fish,1,Flounder,flounder,1,1,0,Q011::1
pairwise_outputs/answers_mistral_7b_selfA.csv,answers_mistral_7b_selfA,Q012,F,Things in a backpack,0,First-aid kit,first-aid kit,1,0,1,Q012::0
pairwise_outputs/answers_mistral_7b_selfA.csv,answers_mistral_7b_selfA,Q012,F,Things in a backpack,1,Flashlight,flashlight,1,1,0,Q012::1
pairwise_outputs/answers_mistral_7b_selfA.csv,answers_mistral_7b_selfA,Q013,G,U.S. states,0,Georgia,georgia,1,1,0,Q013::0
pairwise_outputs/answers_mistral_7b_selfA.csv,answers_mistral_7b_selfA,Q013,G,U.S. states,1,Georgia,georgia,1,1,0,Q013::1
pairwise_outputs/answers_mistral_7b_selfA.csv,answers_mistral_7b_selfA,Q014,G,Foods,0,Grits,grits,1,0,1,Q014::0
pairwise_outputs/answers_mistral_7b_selfA.csv,answers_mistral_7b_selfA,Q014,G,Foods,1,Granola,granola,1,1,0,Q014::1
pairwise_outputs/answers_mistral_7b_selfA.csv,answers_mistral_7b_selfA,Q015,H,Famous scientists,0,Hawking,hawking,1,1,0,Q015::0
pairwise_outputs/answers_mistral_7b_selfA.csv,answers_mistral_7b_selfA,Q015,H,Famous scientists,1,Hawking,hawking,1,1,0,Q015::1
pairwise_outputs/answers_mistral_7b_selfA.csv,answers_mistral_7b_selfA,Q016,H,Things at the beach,0,Hammock,hammock,1,1,0,Q016::0
pairwise_outputs/answers_mistral_7b_selfA.csv,answers_mistral_7b_selfA,Q016,H,Things at the beach,1,Hammock,hammock,1,1,0,Q016::1
pairwise_outputs/answers_mistral_7b_selfA.csv,answers_mistral_7b_selfA,Q017,I,Cities,0,Istanbul,istanbul,0,0,0,Q017::0
pairwise_outputs/answers_mistral_7b_selfA.csv,answers_mistral_7b_selfA,Q017,I,Cities,1,Istanbul,istanbul,0,0,0,Q017::1
pairwise_outputs/answers_mistral_7b_selfA.csv,answers_mistral_7b_selfA,Q018,I,Things in a classroom,0,Interactive Whiteboard,interactive whiteboard,1,1,0,Q018::0
pairwise_outputs/answers_mistral_7b_selfA.csv,answers_mistral_7b_selfA,Q018,I,Things in a classroom,1,Interactive Whiteboard,interactive whiteboard,1,1,0,Q018::1
pairwise_outputs/answers_mistral_7b_selfA.csv,answers_mistral_7b_selfA,Q019,J,Car brands,0,Jaguar,jaguar,1,1,0,Q019::0
pairwise_outputs/answers_mistral_7b_selfA.csv,answers_mistral_7b_selfA,Q019,J,Car brands,1,Jaguar,jaguar,1,1,0,Q019::1
pairwise_outputs/answers_mistral_7b_selfA.csv,answers_mistral_7b_selfA,Q020,J,Video game titles,0,Jetset Radicals,jetset radicals,0,0,0,Q020::0
pairwise_outputs/answers_mistral_7b_selfA.csv,answers_mistral_7b_selfA,Q020,J,Video game titles,1,Jazz Jackrabbit,jazz jackrabbit,1,0,1,Q020::1
pairwise_outputs/answers_mistral_7b_selfA.csv,answers_mistral_7b_selfA,Q021,K,Superheroes,0,Kryptonian (Superman),kryptonian (superman,0,0,0,Q021::0
pairwise_outputs/answers_mistral_7b_selfA.csv,answers_mistral_7b_selfA,Q021,K,Superheroes,1,"Knightmare

Additional suggestions for the Scattergories game, all","knightmare additional suggestions for the scattergories game, all",0,0,0,Q021::1
pairwise_outputs/answers_mistral_7b_selfA.csv,answers_mistral_7b_selfA,Q022,K,Things in a grocery store,0,Kiwi,kiwi,1,0,1,Q022::0
pairwise_outputs/answers_mistral_7b_selfA.csv,answers_mistral_7b_selfA,Q022,K,Things in a grocery store,1,Ketchup,ketchup,1,1,0,Q022::1
pairwise_outputs/answers_mistral_7b_selfA.csv,answers_mistral_7b_selfA,Q023,L,Dog breeds,0,Labrador,labrador,1,0,1,Q023::0
pairwise_outputs/answers_mistral_7b_selfA.csv,answers_mistral_7b_selfA,Q023,L,Dog breeds,1,Labrador,labrador,1,1,0,Q023::1
pairwise_outputs/answers_mistral_7b_selfA.csv,answers_mistral_7b_selfA,Q024,L,Books,0,"""Lord of the Rings""",lord of the rings,1,1,0,Q024::0
pairwise_outputs/answers_mistral_7b_selfA.csv,answers_mistral_7b_selfA,Q024,L,Books,1,"""Lord of the Rings""",lord of the rings,1,1,0,Q024::1
pairwise_outputs/answers_mistral_7b_selfA.csv,answers_mistral_7b_selfA,Q025,M,Languages,0,Mandarin,mandarin,1,1,0,Q025::0
pairwise_outputs/answers_mistral_7b_selfA.csv,answers_mistral_7b_selfA,Q025,M,Languages,1,Mandarin,mandarin,1,1,0,Q025::1
pairwise_outputs/answers_mistral_7b_selfA.csv,answers_mistral_7b_selfA,Q026,M,Clothing items,0,Mittens,mittens,1,1,0,Q026::0
pairwise_outputs/answers_mistral_7b_selfA.csv,answers_mistral_7b_selfA,Q026,M,Clothing items,1,Mittens,mittens,1,1,0,Q026::1
pairwise_outputs/answers_mistral_7b_selfA.csv,answers_mistral_7b_selfA,Q027,N,Birds,0,Nightingale,nightingale,1,1,0,Q027::0
pairwise_outputs/answers_mistral_7b_selfA.csv,answers_mistral_7b_selfA,Q027,N,Birds,1,Nightingale,nightingale,1,1,0,Q027::1
pairwise_outputs/answers_mistral_7b_selfA.csv,answers_mistral_7b_selfA,Q028,N,Things in a hospital,0,Nurse,nurse,1,0,1,Q028::0
pairwise_outputs/answers_mistral_7b_selfA.csv,answers_mistral_7b_selfA,Q028,N,Things in a hospital,1,Nurse,nurse,1,0,1,Q028::1
pairwise_outputs/answers_mistral_7b_selfA.csv,answers_mistral_7b_selfA,Q029,O,Companies,0,Oracle,oracle,1,0,1,Q029::0
pairwise_outputs/answers_mistral_7b_selfA.csv,answers_mistral_7b_selfA,Q029,O,Companies,1,"Oracle, Oculus, Old Navy","oracle, oculus, old navy",1,0,1,Q029::1
pairwise_outputs/answers_mistral_7b_selfA.csv,answers_mistral_7b_selfA,Q030,O,Things in the sky,0,Orion (Constellation),orion (constellation,1,1,0,Q030::0
pairwise_outputs/answers_mistral_7b_selfA.csv,answers_mistral_7b_selfA,Q030,O,Things in the sky,1,"Owl, Orion (constellation)","owl, orion (constellation",1,0,1,Q030::1
pairwise_outputs/answers_mistral_7b_selfA.csv,answers_mistral_7b_selfA,Q031,P,Vegetables,0,Peppers,peppers,1,0,1,Q031::0
pairwise_outputs/answers_mistral_7b_selfA.csv,answers_mistral_7b_selfA,Q031,P,Vegetables,1,Peppers,peppers,1,0,1,Q031::1
pairwise_outputs/answers_mistral_7b_selfA.csv,answers_mistral_7b_selfA,Q032,P,Historical figures,0,Paul Revere,paul revere,1,1,0,Q032::0
pairwise_outputs/answers_mistral_7b_selfA.csv,answers_mistral_7b_selfA,Q032,P,Historical figures,1,Paul Revere,paul revere,1,1,0,Q032::1
pairwise_outputs/answers_mistral_7b_selfA.csv,answers_mistral_7b_selfA,Q033,Q,Words in English,0,Quilt,quilt,1,1,0,Q033::0
pairwise_outputs/answers_mistral_7b_selfA.csv,answers_mistral_7b_selfA,Q033,Q,Words in English,1,Quilt,quilt,1,1,0,Q033::1
pairwise_outputs/answers_mistral_7b_selfA.csv,answers_mistral_7b_selfA,Q034,Q,Fictional characters,0,Quagmire (Family Guy),quagmire (family guy,1,0,1,Q034::0
pairwise_outputs/answers_mistral_7b_selfA.csv,answers_mistral_7b_selfA,Q034,Q,Fictional characters,1,Quasimodo (Hunchback of Notre Dame),quasimodo (hunchback of notre dame,1,0,1,Q034::1
pairwise_outputs/answers_mistral_7b_selfA.csv,answers_mistral_7b_selfA,Q035,R,Songs,0,"""Rolling in the Deep""",rolling in the deep,1,0,1,Q035::0
pairwise_outputs/answers_mistral_7b_selfA.csv,answers_mistral_7b_selfA,Q035,R,Songs,1,Rolling in the Deep,rolling in the deep,1,1,0,Q035::1
pairwise_outputs/answers_mistral_7b_selfA.csv,answers_mistral_7b_selfA,Q036,R,Tools,0,Rake,rake,1,1,0,Q036::0
pairwise_outputs/answers_mistral_7b_selfA.csv,answers_mistral_7b_selfA,Q036,R,Tools,1,Rake,rake,1,1,0,Q036::1
pairwise_outputs/answers_mistral_7b_selfA.csv,answers_mistral_7b_selfA,Q037,S,Animals,0,Sea Turtle,sea turtle,1,1,0,Q037::0
pairwise_outputs/answers_mistral_7b_selfA.csv,answers_mistral_7b_selfA,Q037,S,Animals,1,Seal,seal,1,1,0,Q037::1
pairwise_outputs/answers_mistral_7b_selfA.csv,answers_mistral_7b_selfA,Q038,S,Things in an office,0,Stapler,stapler,1,1,0,Q038::0
pairwise_outputs/answers_mistral_7b_selfA.csv,answers_mistral_7b_selfA,Q038,S,Things in an office,1,Stapler,stapler,1,1,0,Q038::1
pairwise_outputs/answers_mistral_7b_selfA.csv,answers_mistral_7b_selfA,Q039,T,Countries,0,Timor-Leste,timor-leste,1,0,1,Q039::0
pairwise_outputs/answers_mistral_7b_selfA.csv,answers_mistral_7b_selfA,Q039,T,Countries,1,Timor-Leste,timor-leste,1,1,0,Q039::1
pairwise_outputs/answers_mistral_7b_selfA.csv,answers_mistral_7b_selfA,Q040,T,TV shows,0,The Adam's Family (TV show),the adam's family (tv show,0,0,0,Q040::0
pairwise_outputs/answers_mistral_7b_selfA.csv,answers_mistral_7b_selfA,Q040,T,TV shows,1,The Adams Family,the adams family,0,0,0,Q040::1
pairwise_outputs/answers_mistral_7b_selfA.csv,answers_mistral_7b_selfA,Q041,U,U.S. colleges,0,University of Utah,university of utah,1,1,0,Q041::0
pairwise_outputs/answers_mistral_7b_selfA.csv,answers_mistral_7b_selfA,Q041,U,U.S. colleges,1,University of Utah,university of utah,1,1,0,Q041::1
pairwise_outputs/answers_mistral_7b_selfA.csv,answers_mistral_7b_selfA,Q042,U,Things in a garage,0,Utility Belt,utility belt,0,0,0,Q042::0
pairwise_outputs/answers_mistral_7b_selfA.csv,answers_mistral_7b_selfA,Q042,U,Things in a garage,1,Utility cart,utility cart,1,1,0,Q042::1
pairwise_outputs/answers_mistral_7b_selfA.csv,answers_mistral_7b_selfA,Q043,V,Jobs,0,Veterinarian,veterinarian,1,1,0,Q043::0
pairwise_outputs/answers_mistral_7b_selfA.csv,answers_mistral_7b_selfA,Q043,V,Jobs,1,Veterinarian,veterinarian,1,1,0,Q043::1
pairwise_outputs/answers_mistral_7b_selfA.csv,answers_mistral_7b_selfA,Q044,V,Things you wear,0,Vest,vest,1,1,0,Q044::0
pairwise_outputs/answers_mistral_7b_selfA.csv,answers_mistral_7b_selfA,Q044,V,Things you wear,1,Vest,vest,1,1,0,Q044::1
pairwise_outputs/answers_mistral_7b_selfA.csv,answers_mistral_7b_selfA,Q045,W,Cities,0,Washington,washington,1,1,0,Q045::0
pairwise_outputs/answers_mistral_7b_selfA.csv,answers_mistral_7b_selfA,Q045,W,Cities,1,"Washington, Wilmington","washington, wilmington",1,0,1,Q045::1
pairwise_outputs/answers_mistral_7b_selfA.csv,answers_mistral_7b_selfA,Q046,W,Things in a park,0,Willow (tree),willow (tree,1,0,1,Q046::0
pairwise_outputs/answers_mistral_7b_selfA.csv,answers_mistral_7b_selfA,Q046,W,Things in a park,1,Waterfall,waterfall,1,0,1,Q046::1
pairwise_outputs/answers_mistral_7b_selfA.csv,answers_mistral_7b_selfA,Q047,X,Brands,0,Xerox,xerox,1,1,0,Q047::0
pairwise_outputs/answers_mistral_7b_selfA.csv,answers_mistral_7b_selfA,Q047,X,Brands,1,Xerox,xerox,1,1,0,Q047::1
pairwise_outputs/answers_mistral_7b_selfA.csv,answers_mistral_7b_selfA,Q048,X,Words in English,0,Xylophone,xylophone,1,1,0,Q048::0
pairwise_outputs/answers_mistral_7b_selfA.csv,answers_mistral_7b_selfA,Q048,X,Words in English,1,Xylophone,xylophone,1,1,0,Q048::1
pairwise_outputs/answers_mistral_7b_selfA.csv,answers_mistral_7b_selfA,Q049,Y,Foods,0,Yogurt,yogurt,1,0,1,Q049::0
pairwise_outputs/answers_mistral_7b_selfA.csv,answers_mistral_7b_selfA,Q049,Y,Foods,1,Yogurt,yogurt,1,1,0,Q049::1
pairwise_outputs/answers_mistral_7b_selfA.csv,answers_mistral_7b_selfA,Q050,Y,Things at a party,0,"Yacht (could also be champagne or yoga, but yacht fits best","yacht (could also be champagne or yoga, but yacht fits best",0,0,0,Q050::0
pairwise_outputs/answers_mistral_7b_selfA.csv,answers_mistral_7b_selfA,Q050,Y,Things at a party,1,Yacht (Drinks),yacht (drinks,0,0,0,Q050::1
pairwise_outputs/answers_mistral_7b_selfA.csv,answers_mistral_7b_selfA,Q051,Z,Animals,0,Zebra,zebra,1,1,0,Q051::0
pairwise_outputs/answers_mistral_7b_selfA.csv,answers_mistral_7b_selfA,Q051,Z,Animals,1,Zebra,zebra,1,1,0,Q051::1
pairwise_outputs/answers_mistral_7b_selfA.csv,answers_mistral_7b_selfA,Q052,Z,Things in a zoo,0,Zebra,zebra,1,1,0,Q052::0
pairwise_outputs/answers_mistral_7b_selfA.csv,answers_mistral_7b_selfA,Q052,Z,Things in a zoo,1,Zebra,zebra,1,1,0,Q052::1
pairwise_outputs/answers_mistral_7b_selfA.csv,answers_mistral_7b_selfA,Q053,A,Things in a kitchen,0,Appliances,appliances,1,0,1,Q053::0
pairwise_outputs/answers_mistral_7b_selfA.csv,answers_mistral_7b_selfA,Q053,A,Things in a kitchen,1,"Apples

For future reference, here are some additional examples:","apples for future reference, here are some additional examples",1,0,1,Q053::1
pairwise_outputs/answers_mistral_7b_selfA.csv,answers_mistral_7b_selfA,Q054,B,Singers,0,"Billie
Eilish

Additional examples:
Beyon",billie eilish additional examples: beyon,1,0,1,Q054::0
