question_id,letter,category,round_idx,answer,model,player_id,temperature,top_k,prompt_id
Q001,A,Animals,0,African Elephant,mistral:7b,mistral_7b_selfB,1.0,40,baseline
Q001,A,Animals,1,Aardvark,mistral:7b,mistral_7b_selfB,1.0,40,baseline
Q002,A,Jobs,0,Architect,mistral:7b,mistral_7b_selfB,1.0,40,baseline
Q002,A,Jobs,1,Architect,mistral:7b,mistral_7b_selfB,1.0,40,baseline
Q003,B,Fruits,0,Blueberry,mistral:7b,mistral_7b_selfB,1.0,40,baseline
Q003,B,Fruits,1,Blueberry,mistral:7b,mistral_7b_selfB,1.0,40,baseline
Q004,B,Things that are red,0,Brick,mistral:7b,mistral_7b_selfB,1.0,40,baseline
Q004,B,Things that are red,1,"Blood

For more responses, you can find additional items starting with 'B",mistral:7b,mistral_7b_selfB,1.0,40,baseline
Q005,C,Countries,0,Canada,mistral:7b,mistral_7b_selfB,1.0,40,baseline
Q005,C,Countries,1,Canada,mistral:7b,mistral_7b_selfB,1.0,40,baseline
Q006,C,Board games,0,"Clue Master

Clue: A popular strategy board game that involves capt",mistral:7b,mistral_7b_selfB,1.0,40,baseline
Q006,C,Board games,1,"Clue Crew

Alternatively, if you are looking for a",mistral:7b,mistral_7b_selfB,1.0,40,baseline
Q007,D,Musical instruments,0,Drums,mistral:7b,mistral_7b_selfB,1.0,40,baseline
Q007,D,Musical instruments,1,Double bass,mistral:7b,mistral_7b_selfB,1.0,40,baseline
Q008,D,Things in a bathroom,0,Dampener (for showerhead) or Deodorant.,mistral:7b,mistral_7b_selfB,1.0,40,baseline
Q008,D,Things in a bathroom,1,Showerhead,mistral:7b,mistral_7b_selfB,1.0,40,baseline
Q009,E,Sports,0,Equestrianism,mistral:7b,mistral_7b_selfB,1.0,40,baseline
Q009,E,Sports,1,Equestrianism,mistral:7b,mistral_7b_selfB,1.0,40,baseline
Q010,E,Movie titles,0,Easy Rider,mistral:7b,mistral_7b_selfB,1.0,40,baseline
