question_id,letter,category,round_idx,answer,model,player_id,temperature,top_k,prompt_id
Q001,A,Animals,0,Aardvark,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q001,A,Animals,1,Alligator,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q002,A,Jobs,0,Architect,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q002,A,Jobs,1,Astronaut,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q003,B,Fruits,0,Breadfruit,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q003,B,Fruits,1,Blueberry,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q004,B,Things that are red,0,Blood.,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q004,B,Things that are red,1,Brick,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q005,C,Countries,0,Canada,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q005,C,Countries,1,China,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q006,C,Board games,0,Clue,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q006,C,Board games,1,Carcassonne,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q007,D,Musical instruments,0,Drums,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q007,D,Musical instruments,1,Drums,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q008,D,Things in a bathroom,0,Drainer,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q008,D,Things in a bathroom,1,Drain.,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q009,E,Sports,0,Equestrian,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q009,E,Sports,1,Equestrian,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q010,E,Movie titles,0,Eternal Sunshine,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q010,E,Movie titles,1,Eternal Sunshine,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q011,F,Fish,0,Flounder,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q011,F,Fish,1,Flounder,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q012,F,Things in a backpack,0,Folder,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q012,F,Things in a backpack,1,Folder,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q013,G,U.S. states,0,Georgia,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q013,G,U.S. states,1,Georgia,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q014,G,Foods,0,Gravy,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q014,G,Foods,1,Garlic,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q015,H,Famous scientists,0,Hubble,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q015,H,Famous scientists,1,Herschel,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q016,H,Things at the beach,0,Hammock,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q016,H,Things at the beach,1,Hammock,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q017,I,Cities,0,Istanbul,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q017,I,Cities,1,Istanbul,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q018,I,Things in a classroom,0,Inkwell,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q018,I,Things in a classroom,1,Inkwell,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q019,J,Car brands,0,Jeep,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q019,J,Car brands,1,Jaguar,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q020,J,Video game titles,0,Jade Empire,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q020,J,Video game titles,1,Jet Set Radio,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q021,K,Superheroes,0,Kylo Ren,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q021,K,Superheroes,1,Katana Girl,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q022,K,Things in a grocery store,0,Ketchup,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q022,K,Things in a grocery store,1,Ketchup,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q023,L,Dog breeds,0,Labrador,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q023,L,Dog breeds,1,Labrador,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q024,L,Books,0,Lord of the Rings,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q024,L,Books,1,Little Women,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q025,M,Languages,0,Malayalam,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q025,M,Languages,1,Mandarin,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q026,M,Clothing items,0,Mantle,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q026,M,Clothing items,1,Mules,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q027,N,Birds,0,Nightingale,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q027,N,Birds,1,Nightingale,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q028,N,Things in a hospital,0,Nurse,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q028,N,Things in a hospital,1,Nursery,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q029,O,Companies,0,Oracle,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q029,O,Companies,1,Oracle,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q030,O,Things in the sky,0,Orion,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q030,O,Things in the sky,1,Ozone,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q031,P,Vegetables,0,Parsnip,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q031,P,Vegetables,1,Parsnip,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q032,P,Historical figures,0,Peter the Great,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q032,P,Historical figures,1,Peter the Great,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q033,Q,Words in English,0,Question,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q033,Q,Words in English,1,Quirky,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q034,Q,Fictional characters,0,Quasimodo,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q034,Q,Fictional characters,1,Quasimodo,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q035,R,Songs,0,Respect,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q035,R,Songs,1,"""Rock Around The Clock""",llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q036,R,Tools,0,Rotary,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q036,R,Tools,1,Ratchet,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q037,S,Animals,0,Sea lion,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q037,S,Animals,1,Snake,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q038,S,Things in an office,0,Stapler,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q038,S,Things in an office,1,stapler,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q039,T,Countries,0,Turkey,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q039,T,Countries,1,Turkey,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q040,T,TV shows,0,The Twilight Zone,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q040,T,TV shows,1,The Twilight Zone,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q041,U,U.S. colleges,0,University of Utah,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q041,U,U.S. colleges,1,University of Utah,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q042,U,Things in a garage,0,Utensil holder,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q042,U,Things in a garage,1,Umbrella stand.,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q043,V,Jobs,0,Vet,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q043,V,Jobs,1,Veterinarian,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q044,V,Things you wear,0,Vest,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q044,V,Things you wear,1,Vest,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q045,W,Cities,0,Washington,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q045,W,Cities,1,Washington,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q046,W,Things in a park,0,Water Fountain,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q046,W,Things in a park,1,Walking trail,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q047,X,Brands,0,Xerox,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q047,X,Brands,1,Xerox,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q048,X,Words in English,0,X-ray,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q048,X,Words in English,1,Xylophone,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q049,Y,Foods,0,Yogurt,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q049,Y,Foods,1,Yogurt,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q050,Y,Things at a party,0,Yogurt cup,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q050,Y,Things at a party,1,Yogurt,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q051,Z,Animals,0,Zebra,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q051,Z,Animals,1,Zebra,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q052,Z,Things in a zoo,0,Zebra,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q052,Z,Things in a zoo,1,Zebras,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q053,A,Things in a kitchen,0,Appliance,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q053,A,Things in a kitchen,1,Ate utensil.,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q054,B,Singers,0,Beyoncé,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q054,B,Singers,1,Beyoncé,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q055,C,Desserts,0,Creme Brûlée,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q055,C,Desserts,1,Cream Puff,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q056,D,Plants,0,Daisy,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q056,D,Plants,1,Daisy,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q057,E,Companies,0,Etsy,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q057,E,Companies,1,Ebay,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q058,F,Movie characters,0,Frodo,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q058,F,Movie characters,1,Frodo Baggins.,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q059,G,Things in a toolbox,0,Grease gun,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q059,G,Things in a toolbox,1,Grease,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q060,H,Countries,0,Hungary,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q060,H,Countries,1,Hungary,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q061,I,Musical artists,0,Iggy Pop,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q061,I,Musical artists,1,Ice Cube,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q062,J,Things in a refrigerator,0,Juice.,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q062,J,Things in a refrigerator,1,Juice,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q063,K,Cities,0,Kansas City,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q063,K,Cities,1,Kolkata,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q064,L,Things in a library,0,Library Shelving,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
Q064,L,Things in a library,1,Laptop,llama3.2:3b,llama3.2_3b_selfA,1.0,40,baseline
