question_id,letter,category,round_idx,answer,model,player_id,temperature,top_k,prompt_id
Q001,A,Animals,0,Aardvark,gemma2:2b,gemma2_2b_selfB,1.0,40,baseline
Q001,A,Animals,1,Alligator,gemma2:2b,gemma2_2b_selfB,1.0,40,baseline
Q002,A,Jobs,0,Accountant,gemma2:2b,gemma2_2b_selfB,1.0,40,baseline
Q002,A,Jobs,1,Astronaut,gemma2:2b,gemma2_2b_selfB,1.0,40,baseline
Q003,B,Fruits,0,Banana,gemma2:2b,gemma2_2b_selfB,1.0,40,baseline
Q003,B,Fruits,1,Blackberry,gemma2:2b,gemma2_2b_selfB,1.0,40,baseline
Q004,B,Things that are red,0,Bloody nose,gemma2:2b,gemma2_2b_selfB,1.0,40,baseline
Q004,B,Things that are red,1,Blueberries,gemma2:2b,gemma2_2b_selfB,1.0,40,baseline
Q005,C,Countries,0,Canada,gemma2:2b,gemma2_2b_selfB,1.0,40,baseline
Q005,C,Countries,1,Canada,gemma2:2b,gemma2_2b_selfB,1.0,40,baseline
Q006,C,Board games,0,Clue,gemma2:2b,gemma2_2b_selfB,1.0,40,baseline
Q006,C,Board games,1,Carcassonne,gemma2:2b,gemma2_2b_selfB,1.0,40,baseline
Q007,D,Musical instruments,0,Drums,gemma2:2b,gemma2_2b_selfB,1.0,40,baseline
Q007,D,Musical instruments,1,Didgeridoo,gemma2:2b,gemma2_2b_selfB,1.0,40,baseline
Q008,D,Things in a bathroom,0,Toothbrush,gemma2:2b,gemma2_2b_selfB,1.0,40,baseline
Q008,D,Things in a bathroom,1,Dashboard,gemma2:2b,gemma2_2b_selfB,1.0,40,baseline
Q009,E,Sports,0,Equestrian,gemma2:2b,gemma2_2b_selfB,1.0,40,baseline
Q009,E,Sports,1,Equestrian,gemma2:2b,gemma2_2b_selfB,1.0,40,baseline
Q010,E,Movie titles,0,Edward Scissorhands,gemma2:2b,gemma2_2b_selfB,1.0,40,baseline
Q010,E,Movie titles,1,E.T.,gemma2:2b,gemma2_2b_selfB,1.0,40,baseline
Q011,F,Fish,0,Flounder,gemma2:2b,gemma2_2b_selfB,1.0,40,baseline
Q011,F,Fish,1,Flounder,gemma2:2b,gemma2_2b_selfB,1.0,40,baseline
Q012,F,Things in a backpack,0,Fanny pack,gemma2:2b,gemma2_2b_selfB,1.0,40,baseline
Q012,F,Things in a backpack,1,Flip-flop,gemma2:2b,gemma2_2b_selfB,1.0,40,baseline
Q013,G,U.S. states,0,Georgia,gemma2:2b,gemma2_2b_selfB,1.0,40,baseline
Q013,G,U.S. states,1,Georgia,gemma2:2b,gemma2_2b_selfB,1.0,40,baseline
Q014,G,Foods,0,Granola,gemma2:2b,gemma2_2b_selfB,1.0,40,baseline
Q014,G,Foods,1,Grapefruit,gemma2:2b,gemma2_2b_selfB,1.0,40,baseline
Q015,H,Famous scientists,0,**Hooke**,gemma2:2b,gemma2_2b_selfB,1.0,40,baseline
Q015,H,Famous scientists,1,**Henry Cavendish**,gemma2:2b,gemma2_2b_selfB,1.0,40,baseline
Q016,H,Things at the beach,0,Hula hoop,gemma2:2b,gemma2_2b_selfB,1.0,40,baseline
Q016,H,Things at the beach,1,Hammock,gemma2:2b,gemma2_2b_selfB,1.0,40,baseline
Q017,I,Cities,0,Iceland,gemma2:2b,gemma2_2b_selfB,1.0,40,baseline
Q017,I,Cities,1,Istanbul,gemma2:2b,gemma2_2b_selfB,1.0,40,baseline
Q018,I,Things in a classroom,0,Inkstick,gemma2:2b,gemma2_2b_selfB,1.0,40,baseline
Q018,I,Things in a classroom,1,Ipad,gemma2:2b,gemma2_2b_selfB,1.0,40,baseline
