question_id,letter,category,round_idx,answer,model,player_id,temperature,top_k,prompt_id
Q001,A,Animals,0,Aardvark,llama3.2:3b,llama3.2_3b,1.0,40,baseline
Q001,A,Animals,1,Alligator,llama3.2:3b,llama3.2_3b,1.0,40,baseline
Q002,A,Jobs,0,Accountant.,llama3.2:3b,llama3.2_3b,1.0,40,baseline
Q002,A,Jobs,1,Accountant,llama3.2:3b,llama3.2_3b,1.0,40,baseline
Q003,B,Fruits,0,Boysenberry,llama3.2:3b,llama3.2_3b,1.0,40,baseline
Q003,B,Fruits,1,Blueberry,llama3.2:3b,llama3.2_3b,1.0,40,baseline
Q004,B,Things that are red,0,Burgundy,llama3.2:3b,llama3.2_3b,1.0,40,baseline
Q004,B,Things that are red,1,Bricks,llama3.2:3b,llama3.2_3b,1.0,40,baseline
Q005,C,Countries,0,Canada,llama3.2:3b,llama3.2_3b,1.0,40,baseline
Q005,C,Countries,1,Canada,llama3.2:3b,llama3.2_3b,1.0,40,baseline
Q006,C,Board games,0,Clue,llama3.2:3b,llama3.2_3b,1.0,40,baseline
Q006,C,Board games,1,Cranium,llama3.2:3b,llama3.2_3b,1.0,40,baseline
Q007,D,Musical instruments,0,Drums,llama3.2:3b,llama3.2_3b,1.0,40,baseline
Q007,D,Musical instruments,1,Drums,llama3.2:3b,llama3.2_3b,1.0,40,baseline
Q008,D,Things in a bathroom,0,Drain.,llama3.2:3b,llama3.2_3b,1.0,40,baseline
Q008,D,Things in a bathroom,1,Drain,llama3.2:3b,llama3.2_3b,1.0,40,baseline
Q009,E,Sports,0,Equestrian,llama3.2:3b,llama3.2_3b,1.0,40,baseline
Q009,E,Sports,1,Esports,llama3.2:3b,llama3.2_3b,1.0,40,baseline
Q010,E,Movie titles,0,Eternal Sunshine of the Spotless Mind,llama3.2:3b,llama3.2_3b,1.0,40,baseline
Q010,E,Movie titles,1,Eternal Sunshine,llama3.2:3b,llama3.2_3b,1.0,40,baseline
Q011,F,Fish,0,Flounder,llama3.2:3b,llama3.2_3b,1.0,40,baseline
Q011,F,Fish,1,Flounder,llama3.2:3b,llama3.2_3b,1.0,40,baseline
Q012,F,Things in a backpack,0,Foldable,llama3.2:3b,llama3.2_3b,1.0,40,baseline
Q012,F,Things in a backpack,1,Folder,llama3.2:3b,llama3.2_3b,1.0,40,baseline
Q013,G,U.S. states,0,Georgia,llama3.2:3b,llama3.2_3b,1.0,40,baseline
Q013,G,U.S. states,1,Georgia,llama3.2:3b,llama3.2_3b,1.0,40,baseline
Q014,G,Foods,0,Garlic,llama3.2:3b,llama3.2_3b,1.0,40,baseline
Q014,G,Foods,1,Garlic,llama3.2:3b,llama3.2_3b,1.0,40,baseline
Q015,H,Famous scientists,0,Hans Bethe,llama3.2:3b,llama3.2_3b,1.0,40,baseline
Q015,H,Famous scientists,1,Harlow,llama3.2:3b,llama3.2_3b,1.0,40,baseline
Q016,H,Things at the beach,0,Harbour,llama3.2:3b,llama3.2_3b,1.0,40,baseline
Q016,H,Things at the beach,1,Hammock,llama3.2:3b,llama3.2_3b,1.0,40,baseline
Q017,I,Cities,0,Istanbul,llama3.2:3b,llama3.2_3b,1.0,40,baseline
Q017,I,Cities,1,Istanbul,llama3.2:3b,llama3.2_3b,1.0,40,baseline
Q018,I,Things in a classroom,0,Ibuprofen,llama3.2:3b,llama3.2_3b,1.0,40,baseline
Q018,I,Things in a classroom,1,Inkwell,llama3.2:3b,llama3.2_3b,1.0,40,baseline
Q019,J,Car brands,0,Jaguar,llama3.2:3b,llama3.2_3b,1.0,40,baseline
Q019,J,Car brands,1,Jaguar,llama3.2:3b,llama3.2_3b,1.0,40,baseline
Q020,J,Video game titles,0,Juicer,llama3.2:3b,llama3.2_3b,1.0,40,baseline
Q020,J,Video game titles,1,Jade Empire,llama3.2:3b,llama3.2_3b,1.0,40,baseline
Q021,K,Superheroes,0,King Kong,llama3.2:3b,llama3.2_3b,1.0,40,baseline
Q021,K,Superheroes,1,Krypton,llama3.2:3b,llama3.2_3b,1.0,40,baseline
Q022,K,Things in a grocery store,0,Ketchup.,llama3.2:3b,llama3.2_3b,1.0,40,baseline
Q022,K,Things in a grocery store,1,Ketchup,llama3.2:3b,llama3.2_3b,1.0,40,baseline
Q023,L,Dog breeds,0,Labrador,llama3.2:3b,llama3.2_3b,1.0,40,baseline
Q023,L,Dog breeds,1,Labrador,llama3.2:3b,llama3.2_3b,1.0,40,baseline
Q024,L,Books,0,Lord of the Rings,llama3.2:3b,llama3.2_3b,1.0,40,baseline
Q024,L,Books,1,Lord of the Rings.,llama3.2:3b,llama3.2_3b,1.0,40,baseline
