question_id,letter,category,round_idx,answer,model,player_id,temperature,top_k,prompt_id
Q001,A,Animals,0,Aardvark,llama3.2:3b,llama3.2_3b_selfB,1.0,40,baseline
Q001,A,Animals,1,Alligator,llama3.2:3b,llama3.2_3b_selfB,1.0,40,baseline
Q002,A,Jobs,0,Actuary,llama3.2:3b,llama3.2_3b_selfB,1.0,40,baseline
Q002,A,Jobs,1,Astronaut,llama3.2:3b,llama3.2_3b_selfB,1.0,40,baseline
Q003,B,Fruits,0,Banana,llama3.2:3b,llama3.2_3b_selfB,1.0,40,baseline
Q003,B,Fruits,1,Blueberry,llama3.2:3b,llama3.2_3b_selfB,1.0,40,baseline
Q004,B,Things that are red,0,Bricks,llama3.2:3b,llama3.2_3b_selfB,1.0,40,baseline
Q004,B,Things that are red,1,Beets,llama3.2:3b,llama3.2_3b_selfB,1.0,40,baseline
Q005,C,Countries,0,Canada,llama3.2:3b,llama3.2_3b_selfB,1.0,40,baseline
Q005,C,Countries,1,Canada,llama3.2:3b,llama3.2_3b_selfB,1.0,40,baseline
Q006,C,Board games,0,Carcassonne,llama3.2:3b,llama3.2_3b_selfB,1.0,40,baseline
Q006,C,Board games,1,Carcassonne,llama3.2:3b,llama3.2_3b_selfB,1.0,40,baseline
Q007,D,Musical instruments,0,Drums,llama3.2:3b,llama3.2_3b_selfB,1.0,40,baseline
Q007,D,Musical instruments,1,Drums,llama3.2:3b,llama3.2_3b_selfB,1.0,40,baseline
Q008,D,Things in a bathroom,0,Drain,llama3.2:3b,llama3.2_3b_selfB,1.0,40,baseline
Q008,D,Things in a bathroom,1,Dish rack,llama3.2:3b,llama3.2_3b_selfB,1.0,40,baseline
Q009,E,Sports,0,Equestrian,llama3.2:3b,llama3.2_3b_selfB,1.0,40,baseline
Q009,E,Sports,1,Equestrian,llama3.2:3b,llama3.2_3b_selfB,1.0,40,baseline
Q010,E,Movie titles,0,Eternal Sunshine.,llama3.2:3b,llama3.2_3b_selfB,1.0,40,baseline
Q010,E,Movie titles,1,Eternal Sunshine,llama3.2:3b,llama3.2_3b_selfB,1.0,40,baseline
Q011,F,Fish,0,Flounder,llama3.2:3b,llama3.2_3b_selfB,1.0,40,baseline
Q011,F,Fish,1,Flounder,llama3.2:3b,llama3.2_3b_selfB,1.0,40,baseline
Q012,F,Things in a backpack,0,Folders,llama3.2:3b,llama3.2_3b_selfB,1.0,40,baseline
Q012,F,Things in a backpack,1,First aid kit.,llama3.2:3b,llama3.2_3b_selfB,1.0,40,baseline
Q013,G,U.S. states,0,Georgia,llama3.2:3b,llama3.2_3b_selfB,1.0,40,baseline
Q013,G,U.S. states,1,Georgia,llama3.2:3b,llama3.2_3b_selfB,1.0,40,baseline
Q014,G,Foods,0,Grapes,llama3.2:3b,llama3.2_3b_selfB,1.0,40,baseline
Q014,G,Foods,1,Garlic,llama3.2:3b,llama3.2_3b_selfB,1.0,40,baseline
Q015,H,Famous scientists,0,Hippocrates,llama3.2:3b,llama3.2_3b_selfB,1.0,40,baseline
Q015,H,Famous scientists,1,Hippocrates,llama3.2:3b,llama3.2_3b_selfB,1.0,40,baseline
Q016,H,Things at the beach,0,Hammock,llama3.2:3b,llama3.2_3b_selfB,1.0,40,baseline
Q016,H,Things at the beach,1,Hammock,llama3.2:3b,llama3.2_3b_selfB,1.0,40,baseline
Q017,I,Cities,0,Istanbul,llama3.2:3b,llama3.2_3b_selfB,1.0,40,baseline
Q017,I,Cities,1,Istanbul,llama3.2:3b,llama3.2_3b_selfB,1.0,40,baseline
Q018,I,Things in a classroom,0,Ipod,llama3.2:3b,llama3.2_3b_selfB,1.0,40,baseline
Q018,I,Things in a classroom,1,Ibises,llama3.2:3b,llama3.2_3b_selfB,1.0,40,baseline
Q019,J,Car brands,0,Jaguar,llama3.2:3b,llama3.2_3b_selfB,1.0,40,baseline
Q019,J,Car brands,1,Jaguar,llama3.2:3b,llama3.2_3b_selfB,1.0,40,baseline
Q020,J,Video game titles,0,Jedi Fallen Order,llama3.2:3b,llama3.2_3b_selfB,1.0,40,baseline
Q020,J,Video game titles,1,Jetpack Joyride,llama3.2:3b,llama3.2_3b_selfB,1.0,40,baseline
Q021,K,Superheroes,0,Khan,llama3.2:3b,llama3.2_3b_selfB,1.0,40,baseline
Q021,K,Superheroes,1,Kingbox,llama3.2:3b,llama3.2_3b_selfB,1.0,40,baseline
Q022,K,Things in a grocery store,0,Kettle,llama3.2:3b,llama3.2_3b_selfB,1.0,40,baseline
Q022,K,Things in a grocery store,1,Ketchup,llama3.2:3b,llama3.2_3b_selfB,1.0,40,baseline
Q023,L,Dog breeds,0,Labrador,llama3.2:3b,llama3.2_3b_selfB,1.0,40,baseline
Q023,L,Dog breeds,1,Labrador,llama3.2:3b,llama3.2_3b_selfB,1.0,40,baseline
Q024,L,Books,0,Lord of the Rings,llama3.2:3b,llama3.2_3b_selfB,1.0,40,baseline
Q024,L,Books,1,Little Women,llama3.2:3b,llama3.2_3b_selfB,1.0,40,baseline
Q025,M,Languages,0,Malay.,llama3.2:3b,llama3.2_3b_selfB,1.0,40,baseline
Q025,M,Languages,1,Mandarin,llama3.2:3b,llama3.2_3b_selfB,1.0,40,baseline
Q026,M,Clothing items,0,Mulets,llama3.2:3b,llama3.2_3b_selfB,1.0,40,baseline
Q026,M,Clothing items,1,Muleson.,llama3.2:3b,llama3.2_3b_selfB,1.0,40,baseline
Q027,N,Birds,0,Nightingale,llama3.2:3b,llama3.2_3b_selfB,1.0,40,baseline
Q027,N,Birds,1,Nightingale,llama3.2:3b,llama3.2_3b_selfB,1.0,40,baseline
Q028,N,Things in a hospital,0,Nurse,llama3.2:3b,llama3.2_3b_selfB,1.0,40,baseline
Q028,N,Things in a hospital,1,Nurse,llama3.2:3b,llama3.2_3b_selfB,1.0,40,baseline
Q029,O,Companies,0,Oracle,llama3.2:3b,llama3.2_3b_selfB,1.0,40,baseline
Q029,O,Companies,1,Oracle,llama3.2:3b,llama3.2_3b_selfB,1.0,40,baseline
Q030,O,Things in the sky,0,Orbit,llama3.2:3b,llama3.2_3b_selfB,1.0,40,baseline
Q030,O,Things in the sky,1,Ozone.,llama3.2:3b,llama3.2_3b_selfB,1.0,40,baseline
Q031,P,Vegetables,0,Peas,llama3.2:3b,llama3.2_3b_selfB,1.0,40,baseline
Q031,P,Vegetables,1,Peas,llama3.2:3b,llama3.2_3b_selfB,1.0,40,baseline
Q032,P,Historical figures,0,Peter the Great,llama3.2:3b,llama3.2_3b_selfB,1.0,40,baseline
Q032,P,Historical figures,1,Peter the Great,llama3.2:3b,llama3.2_3b_selfB,1.0,40,baseline
Q033,Q,Words in English,0,Questionnaire,llama3.2:3b,llama3.2_3b_selfB,1.0,40,baseline
Q033,Q,Words in English,1,Queen,llama3.2:3b,llama3.2_3b_selfB,1.0,40,baseline
Q034,Q,Fictional characters,0,Quasimodo,llama3.2:3b,llama3.2_3b_selfB,1.0,40,baseline
Q034,Q,Fictional characters,1,Quasimodo,llama3.2:3b,llama3.2_3b_selfB,1.0,40,baseline
Q035,R,Songs,0,Radiohead,llama3.2:3b,llama3.2_3b_selfB,1.0,40,baseline
Q035,R,Songs,1,Rocket Man,llama3.2:3b,llama3.2_3b_selfB,1.0,40,baseline
Q036,R,Tools,0,Ratchet,llama3.2:3b,llama3.2_3b_selfB,1.0,40,baseline
Q036,R,Tools,1,Robotic,llama3.2:3b,llama3.2_3b_selfB,1.0,40,baseline
Q037,S,Animals,0,Snake,llama3.2:3b,llama3.2_3b_selfB,1.0,40,baseline
Q037,S,Animals,1,Snake,llama3.2:3b,llama3.2_3b_selfB,1.0,40,baseline
Q038,S,Things in an office,0,Stapler,llama3.2:3b,llama3.2_3b_selfB,1.0,40,baseline
Q038,S,Things in an office,1,Stapler,llama3.2:3b,llama3.2_3b_selfB,1.0,40,baseline
Q039,T,Countries,0,Tanzania,llama3.2:3b,llama3.2_3b_selfB,1.0,40,baseline
