,q1,q2,q3,q4,q5,q6,q7
A lot,0.0,0.0,-0.10758567029599789,0.0,0.0,-0.08185246357965499,0.0
"It's important for a person to be honest, kind and loyal.",-0.20700772532833583,0.0,0.0,0.0,0.0,0.0,0.0
"It's important for a person to be honest, kind, and loyal.",0.20700772532833578,0.0,0.0,0.0,0.0,0.0,0.0
Neither important nor unimportant (neutral),0.0,0.0,0.0,0.0,0.0,0.0,-0.041424602521826
No,0.0,-0.15217168139759263,0.0,0.0,0.059623383418489495,0.0,0.0
Not at all,0.0,0.0,-0.10197205345831352,0.0,0.0,-0.17678945944722171,0.0
Not much,0.0,0.0,0.1581777936487455,0.0,0.0,0.1990681892980704,0.0
Some,0.0,0.0,0.05137993010556563,0.0,0.0,0.05957373372880531,0.0
"Some experts say it's important to drink milk, but the data are inconclusive.",0.0,0.0,0.0,0.32923567922835895,0.0,0.0,0.0
"Some experts say it's important to drink milk, but the data is inconclusive.",0.0,0.0,0.0,-0.32923567922835884,0.0,0.0,0.0
Somewhat important,0.0,0.0,0.0,0.0,0.0,0.0,0.37677819064368434
Somewhat unimportant,0.0,0.0,0.0,0.0,0.0,0.0,0.00021840308954108184
Very important,0.0,0.0,0.0,0.0,0.0,0.0,-0.3333932393008239
Very unimportant,0.0,0.0,0.0,0.0,0.0,0.0,-0.002178751910576246
Yes,0.0,0.15217168139759263,0.0,0.0,-0.059623383418489384,0.0,0.0
