question_id,letter,category,round_idx,answer,model,player_id,temperature,top_k,prompt_id
Q001,A,Animals,0,Alpaca,qwen2.5:7b,qwen2.5_7b_selfB,1.0,40,baseline
Q001,A,Animals,1,Alpaca,qwen2.5:7b,qwen2.5_7b_selfB,1.0,40,baseline
Q002,A,Jobs,0,Accountant,qwen2.5:7b,qwen2.5_7b_selfB,1.0,40,baseline
Q002,A,Jobs,1,Actor,qwen2.5:7b,qwen2.5_7b_selfB,1.0,40,baseline
Q003,B,Fruits,0,Blueberry,qwen2.5:7b,qwen2.5_7b_selfB,1.0,40,baseline
Q003,B,Fruits,1,Banana,qwen2.5:7b,qwen2.5_7b_selfB,1.0,40,baseline
Q004,B,Things that are red,0,Berry,qwen2.5:7b,qwen2.5_7b_selfB,1.0,40,baseline
Q004,B,Things that are red,1,Berries,qwen2.5:7b,qwen2.5_7b_selfB,1.0,40,baseline
Q005,C,Countries,0,Costa Rica,qwen2.5:7b,qwen2.5_7b_selfB,1.0,40,baseline
Q005,C,Countries,1,Costa Rica,qwen2.5:7b,qwen2.5_7b_selfB,1.0,40,baseline
Q006,C,Board games,0,Chess,qwen2.5:7b,qwen2.5_7b_selfB,1.0,40,baseline
Q006,C,Board games,1,Chess,qwen2.5:7b,qwen2.5_7b_selfB,1.0,40,baseline
Q007,D,Musical instruments,0,Didgeridoo,qwen2.5:7b,qwen2.5_7b_selfB,1.0,40,baseline
Q007,D,Musical instruments,1,Drum,qwen2.5:7b,qwen2.5_7b_selfB,1.0,40,baseline
Q008,D,Things in a bathroom,0,Drape,qwen2.5:7b,qwen2.5_7b_selfB,1.0,40,baseline
Q008,D,Things in a bathroom,1,Dishcloth,qwen2.5:7b,qwen2.5_7b_selfB,1.0,40,baseline
Q009,E,Sports,0,Equestrian,qwen2.5:7b,qwen2.5_7b_selfB,1.0,40,baseline
Q009,E,Sports,1,Equestrian,qwen2.5:7b,qwen2.5_7b_selfB,1.0,40,baseline
Q010,E,Movie titles,0,Eyes Wide Shut,qwen2.5:7b,qwen2.5_7b_selfB,1.0,40,baseline
Q010,E,Movie titles,1,Edward Scissorhands,qwen2.5:7b,qwen2.5_7b_selfB,1.0,40,baseline
Q011,F,Fish,0,Flounder,qwen2.5:7b,qwen2.5_7b_selfB,1.0,40,baseline
Q011,F,Fish,1,Flounder,qwen2.5:7b,qwen2.5_7b_selfB,1.0,40,baseline
Q012,F,Things in a backpack,0,Folder,qwen2.5:7b,qwen2.5_7b_selfB,1.0,40,baseline
Q012,F,Things in a backpack,1,Flashlight,qwen2.5:7b,qwen2.5_7b_selfB,1.0,40,baseline
Q013,G,U.S. states,0,Georgia,qwen2.5:7b,qwen2.5_7b_selfB,1.0,40,baseline
Q013,G,U.S. states,1,Georgia,qwen2.5:7b,qwen2.5_7b_selfB,1.0,40,baseline
Q014,G,Foods,0,Grapefruit,qwen2.5:7b,qwen2.5_7b_selfB,1.0,40,baseline
Q014,G,Foods,1,Grapefruit,qwen2.5:7b,qwen2.5_7b_selfB,1.0,40,baseline
