question_id,letter,category,round_idx,answer,model,player_id,temperature,top_k,prompt_id
Q001,A,Animals,0,Albatross,gemma2:2b,gemma2_2b,1.0,40,baseline
Q001,A,Animals,1,Alpaca,gemma2:2b,gemma2_2b,1.0,40,baseline
Q002,A,Jobs,0,Architect,gemma2:2b,gemma2_2b,1.0,40,baseline
Q002,A,Jobs,1,Astronaut,gemma2:2b,gemma2_2b,1.0,40,baseline
Q003,B,Fruits,0,Blackberry,gemma2:2b,gemma2_2b,1.0,40,baseline
Q003,B,Fruits,1,Blueberries,gemma2:2b,gemma2_2b,1.0,40,baseline
Q004,B,Things that are red,0,Brick,gemma2:2b,gemma2_2b,1.0,40,baseline
Q004,B,Things that are red,1,Burning bush,gemma2:2b,gemma2_2b,1.0,40,baseline
Q005,C,Countries,0,China,gemma2:2b,gemma2_2b,1.0,40,baseline
Q005,C,Countries,1,Canada,gemma2:2b,gemma2_2b,1.0,40,baseline
Q006,C,Board games,0,Clue,gemma2:2b,gemma2_2b,1.0,40,baseline
Q006,C,Board games,1,Clue,gemma2:2b,gemma2_2b,1.0,40,baseline
Q007,D,Musical instruments,0,Djembe,gemma2:2b,gemma2_2b,1.0,40,baseline
Q007,D,Musical instruments,1,Didgeridoo,gemma2:2b,gemma2_2b,1.0,40,baseline
Q008,D,Things in a bathroom,0,Deodorant,gemma2:2b,gemma2_2b,1.0,40,baseline
Q008,D,Things in a bathroom,1,Doorknob,gemma2:2b,gemma2_2b,1.0,40,baseline
Q009,E,Sports,0,E-squash,gemma2:2b,gemma2_2b,1.0,40,baseline
Q009,E,Sports,1,Equestrian,gemma2:2b,gemma2_2b,1.0,40,baseline
Q010,E,Movie titles,0,Edward Scissorhands,gemma2:2b,gemma2_2b,1.0,40,baseline
Q010,E,Movie titles,1,Edward Scissorhands,gemma2:2b,gemma2_2b,1.0,40,baseline
Q011,F,Fish,0,Flounder,gemma2:2b,gemma2_2b,1.0,40,baseline
Q011,F,Fish,1,Fantail,gemma2:2b,gemma2_2b,1.0,40,baseline
Q012,F,Things in a backpack,0,First aid kit,gemma2:2b,gemma2_2b,1.0,40,baseline
Q012,F,Things in a backpack,1,First aid kit,gemma2:2b,gemma2_2b,1.0,40,baseline
Q013,G,U.S. states,0,Georgia,gemma2:2b,gemma2_2b,1.0,40,baseline
Q013,G,U.S. states,1,Georgia,gemma2:2b,gemma2_2b,1.0,40,baseline
Q014,G,Foods,0,Gazpacho,gemma2:2b,gemma2_2b,1.0,40,baseline
Q014,G,Foods,1,Grapefruit,gemma2:2b,gemma2_2b,1.0,40,baseline
Q015,H,Famous scientists,0,Henry Cavendish,gemma2:2b,gemma2_2b,1.0,40,baseline
Q015,H,Famous scientists,1,Henrietta Moore,gemma2:2b,gemma2_2b,1.0,40,baseline
Q016,H,Things at the beach,0,Hammock,gemma2:2b,gemma2_2b,1.0,40,baseline
Q016,H,Things at the beach,1,Harbor,gemma2:2b,gemma2_2b,1.0,40,baseline
Q017,I,Cities,0,Istanbul,gemma2:2b,gemma2_2b,1.0,40,baseline
Q017,I,Cities,1,Istanbul,gemma2:2b,gemma2_2b,1.0,40,baseline
Q018,I,Things in a classroom,0,I-Pads,gemma2:2b,gemma2_2b,1.0,40,baseline
Q018,I,Things in a classroom,1,Inking pen,gemma2:2b,gemma2_2b,1.0,40,baseline
Q019,J,Car brands,0,Jaguar,gemma2:2b,gemma2_2b,1.0,40,baseline
Q019,J,Car brands,1,Jeep,gemma2:2b,gemma2_2b,1.0,40,baseline
Q020,J,Video game titles,0,Jet Set Radio,gemma2:2b,gemma2_2b,1.0,40,baseline
Q020,J,Video game titles,1,Jet Set Radio,gemma2:2b,gemma2_2b,1.0,40,baseline
Q021,K,Superheroes,0,Kara Kent,gemma2:2b,gemma2_2b,1.0,40,baseline
Q021,K,Superheroes,1,Katana,gemma2:2b,gemma2_2b,1.0,40,baseline
Q022,K,Things in a grocery store,0,Ketchup,gemma2:2b,gemma2_2b,1.0,40,baseline
Q022,K,Things in a grocery store,1,Kelp,gemma2:2b,gemma2_2b,1.0,40,baseline
Q023,L,Dog breeds,0,Labrador,gemma2:2b,gemma2_2b,1.0,40,baseline
Q023,L,Dog breeds,1,Labrador,gemma2:2b,gemma2_2b,1.0,40,baseline
Q024,L,Books,0,Life of Pi,gemma2:2b,gemma2_2b,1.0,40,baseline
Q024,L,Books,1,Life of Pi,gemma2:2b,gemma2_2b,1.0,40,baseline
Q025,M,Languages,0,Mandarin,gemma2:2b,gemma2_2b,1.0,40,baseline
Q025,M,Languages,1,Mandarin,gemma2:2b,gemma2_2b,1.0,40,baseline
Q026,M,Clothing items,0,Moccasins,gemma2:2b,gemma2_2b,1.0,40,baseline
Q026,M,Clothing items,1,Men's Shirt,gemma2:2b,gemma2_2b,1.0,40,baseline
Q027,N,Birds,0,Northern Cardinal,gemma2:2b,gemma2_2b,1.0,40,baseline
Q027,N,Birds,1,Nightingale,gemma2:2b,gemma2_2b,1.0,40,baseline
Q028,N,Things in a hospital,0,Nurse,gemma2:2b,gemma2_2b,1.0,40,baseline
Q028,N,Things in a hospital,1,Nebulizer,gemma2:2b,gemma2_2b,1.0,40,baseline
Q029,O,Companies,0,Oreo,gemma2:2b,gemma2_2b,1.0,40,baseline
Q029,O,Companies,1,Oreo,gemma2:2b,gemma2_2b,1.0,40,baseline
Q030,O,Things in the sky,0,Oceans,gemma2:2b,gemma2_2b,1.0,40,baseline
Q030,O,Things in the sky,1,Olympus,gemma2:2b,gemma2_2b,1.0,40,baseline
Q031,P,Vegetables,0,Parsnip,gemma2:2b,gemma2_2b,1.0,40,baseline
Q031,P,Vegetables,1,Parsnip,gemma2:2b,gemma2_2b,1.0,40,baseline
Q032,P,Historical figures,0,Leonardo da Vinci,gemma2:2b,gemma2_2b,1.0,40,baseline
Q032,P,Historical figures,1,Pericles,gemma2:2b,gemma2_2b,1.0,40,baseline
